Field | Type | Collation
---|---|---
id | int | null
shop_id | int | null
agent_id | varchar(50) | latin1_swedish_ci
name | varchar(100) | latin1_swedish_ci
full_name | varchar(255) | latin1_swedish_ci
image | varchar(255) | latin1_swedish_ci
about_desc | text | latin1_swedish_ci
status | enum('Available','Busy','Offline','Unavailable','Not Available','Pending Onboarding') | latin1_swedish_ci
dob | date | null
mobile | varchar(20) | latin1_swedish_ci
gender | enum('Male','Female','Other') | latin1_swedish_ci
address | text | latin1_swedish_ci
email | varchar(100) | latin1_swedish_ci
country | varchar(100) | latin1_swedish_ci
password | varchar(255) | latin1_swedish_ci
created_at | timestamp | null
distance | float | null
average_rating | float | null
reviews | int | null
service_id | int | null
service_type | varchar(50) | latin1_swedish_ci
service_mode | varchar(255) | latin1_swedish_ci
work_start | time | null
work_end | time | null
adminverifystatus | enum('pending','verified','rejected') | latin1_swedish_ci
travel_radius | int | null
verification_modal_seen | tinyint(1) | null
publish_status | enum('pending','published','unpublished') | latin1_swedish_ci
experience | decimal(3,1) | null
state | varchar(100) | latin1_swedish_ci
city | varchar(100) | latin1_swedish_ci
address_line1 | varchar(255) | latin1_swedish_ci
address_line2 | varchar(255) | latin1_swedish_ci
address_line3 | varchar(255) | latin1_swedish_ci
landmark | varchar(255) | latin1_swedish_ci
pincode | varchar(20) | latin1_swedish_ci
hide_profile | enum('yes','no') | latin1_swedish_ci
address_visibility | varchar(255) | latin1_swedish_ci
category | text | latin1_swedish_ci
service_location | varchar(50) | latin1_swedish_ci
travel_charge | decimal(10,2) | null
partner_type | enum('solo','studio') | latin1_swedish_ci
owner_name | varchar(255) | latin1_swedish_ci
salon_name | varchar(255) | latin1_swedish_ci
document_type | varchar(50) | latin1_swedish_ci
document_url | mediumtext | latin1_swedish_ci
refresh_token | text | latin1_swedish_ci
gst_number | varchar(50) | latin1_swedish_ci
push_token | varchar(255) | latin1_swedish_ci
jwt_token | text | latin1_swedish_ci
